# PWV zflux iflux rflux
2.000000000000000000e+01 1.741872613642249175e+20 1.445582753069488374e+20 3.898691247794384077e+19
2.050000000000000000e+01 1.736693886159611494e+20 1.444421854774554624e+20 3.897505602013689446e+19
2.100000000000000000e+01 1.731605526970672742e+20 1.443273044007220838e+20 3.896326987780518707e+19
2.150000000000000000e+01 1.726604280185066291e+20 1.442135950397519299e+20 3.895155268654789427e+19
2.200000000000000000e+01 1.721687074219154801e+20 1.441010222947995484e+20 3.893990312913924096e+19
2.250000000000000000e+01 1.716851007560199045e+20 1.439895528633298125e+20 3.892831993310117069e+19
2.300000000000000000e+01 1.712093335912216986e+20 1.438791551126918758e+20 3.891680186844961997e+19
2.350000000000000000e+01 1.707411460563374899e+20 1.437697989641281208e+20 3.890534774559775130e+19
2.400000000000000000e+01 1.702802917836175114e+20 1.436614557869105480e+20 3.889395641340208742e+19
2.450000000000000000e+01 1.698265369499918008e+20 1.435540983015474299e+20 3.888262675733817754e+19
2.500000000000000000e+01 1.693796594040455823e+20 1.434477004911318794e+20 3.887135769779512934e+19
2.550000000000000000e+01 1.689394478695464305e+20 1.433422375200117391e+20 3.886014818847841485e+19
2.600000000000000000e+01 1.685057012174879457e+20 1.432376856590581268e+20 3.884899721491219251e+19
2.650000000000000000e+01 1.680782277995860787e+20 1.431340222168935137e+20 3.883790379303299482e+19
2.700000000000000000e+01 1.676568448370132910e+20 1.430312254765091389e+20 3.882686696786733466e+19
2.750000000000000000e+01 1.672413778588770632e+20 1.429292746367675105e+20 3.881588581228693094e+19
2.800000000000000000e+01 1.668316601855915459e+20 1.428281497583401533e+20 3.880495942583567974e+19
2.850000000000000000e+01 1.664275324528296919e+20 1.427278317136769516e+20 3.879408693362261197e+19
2.900000000000000000e+01 1.660288421722332529e+20 1.426283021406477517e+20 3.878326748527667610e+19
2.950000000000000000e+01 1.656354433254683116e+20 1.425295433995345920e+20 3.877250025395824230e+19
3.000000000000000000e+01 1.652471959885879050e+20 1.424315385330831196e+20 3.876178443542373990e+19
3.050000000000000000e+01 1.648639659839784550e+20 1.423342712293538202e+20 3.875111924713992192e+19
3.100000000000000000e+01 1.644856245574597018e+20 1.422377257871372943e+20 3.874050392744361165e+19
3.150000000000000000e+01 1.641120480783443886e+20 1.421418870837221949e+20 3.872993773474513715e+19
3.200000000000000000e+01 1.637431177605016453e+20 1.420467405448230830e+20 3.871941994677139866e+19
3.250000000000000000e+01 1.633787194026462413e+20 1.419522721164959089e+20 3.870894985984663552e+19
3.300000000000000000e+01 1.630187431462637404e+20 1.418584682388825702e+20 3.869852678820881203e+19
3.350000000000000000e+01 1.626630832497243914e+20 1.417653158216418099e+20 3.868815006335838618e+19
3.400000000000000000e+01 1.623116378772882063e+20 1.416728022209373143e+20 3.867781903343876506e+19
3.450000000000000000e+01 1.619643089018102088e+20 1.415809152178624430e+20 3.866753306264546509e+19
3.500000000000000000e+01 1.616210017200794829e+20 1.414896429981970760e+20 3.865729153066275635e+19
3.550000000000000000e+01 1.612816250798151434e+20 1.413989741333942436e+20 3.864709383212636570e+19
3.600000000000000000e+01 1.609460909174301983e+20 1.413088975627090657e+20 3.863693937611041997e+19
3.650000000000000000e+01 1.606143142057575055e+20 1.412194025763865559e+20 3.862682758563703194e+19
3.700000000000000000e+01 1.602862128109969080e+20 1.411304787998335631e+20 3.861675789720812749e+19
3.750000000000000000e+01 1.599617073582122598e+20 1.410421161787033518e+20 3.860672976035735142e+19
3.800000000000000000e+01 1.596407211047600128e+20 1.409543049648326410e+20 3.859674263722131456e+19
3.850000000000000000e+01 1.593231798210852946e+20 1.408670357029694669e+20 3.858679600212933837e+19
3.900000000000000000e+01 1.590090116783664988e+20 1.407802992182402744e+20 3.857688934121066496e+19
3.950000000000000000e+01 1.586981471425362985e+20 1.406940866043050230e+20 3.856702215201767424e+19
4.000000000000000000e+01 1.583905188742366167e+20 1.406083892121559204e+20 3.855719394316496077e+19
4.050000000000000000e+01 1.580860616343125688e+20 1.405231986395166310e+20 3.854740423398328730e+19
4.100000000000000000e+01 1.577847121944683807e+20 1.404385067208041431e+20 3.853765255418730906e+19
4.150000000000000000e+01 1.574864092527504916e+20 1.403543055176156447e+20 3.852793844355686400e+19
4.200000000000000000e+01 1.571910933535377326e+20 1.402705873097084273e+20 3.851826145163063296e+19
4.250000000000000000e+01 1.568987068117500559e+20 1.401873445864417853e+20 3.850862113741229261e+19
4.300000000000000000e+01 1.566091936410082345e+20 1.401045700386515354e+20 3.849901706908770304e+19
4.350000000000000000e+01 1.563224994854927401e+20 1.400222565509314150e+20 3.848944882375318733e+19
4.400000000000000000e+01 1.560385715552727532e+20 1.399403971942960005e+20 3.847991598715425587e+19
4.450000000000000000e+01 1.557573585648918200e+20 1.398589852192029737e+20 3.847041815343416934e+19
4.500000000000000000e+01 1.554788106750114529e+20 1.397780140489126380e+20 3.846095492489189786e+19
4.550000000000000000e+01 1.552028794369281229e+20 1.396974772731658895e+20 3.845152591174920602e+19
4.600000000000000000e+01 1.549295177397923676e+20 1.396173686421602959e+20 3.844213073192617574e+19
4.650000000000000000e+01 1.546586797603716792e+20 1.395376820608100434e+20 3.843276901082510131e+19
4.700000000000000000e+01 1.543903209152077824e+20 1.394584115832699945e+20 3.842344038112208486e+19
4.750000000000000000e+01 1.541243978150308086e+20 1.393795514077121413e+20 3.841414448256629146e+19
4.800000000000000000e+01 1.538608682213002117e+20 1.393010958713388728e+20 3.840488096178612634e+19
4.850000000000000000e+01 1.535996910047552471e+20 1.392230394456191468e+20 3.839564947210243277e+19
4.900000000000000000e+01 1.533408261058580644e+20 1.391453767317379645e+20 3.838644967334815334e+19
4.950000000000000000e+01 1.530842344970291446e+20 1.390681024562447155e+20 3.837728123169448755e+19
5.000000000000000000e+01 1.528298781465735332e+20 1.389912114668917883e+20 3.836814381948258714e+19
5.050000000000000000e+01 1.525777199842082161e+20 1.389146987286515220e+20 3.835903711506142822e+19
5.100000000000000000e+01 1.523277238681037701e+20 1.388385593199047967e+20 3.834996080263106560e+19
5.150000000000000000e+01 1.520798545533588275e+20 1.387627884287890719e+20 3.834091457209108070e+19
5.200000000000000000e+01 1.518340776618335273e+20 1.386873813497003540e+20 3.833189811889419878e+19
5.250000000000000000e+01 1.515903596532697661e+20 1.386123334799390474e+20 3.832291114390460006e+19
5.300000000000000000e+01 1.513486677976330076e+20 1.385376403164948234e+20 3.831395335326122803e+19
5.350000000000000000e+01 1.511089701486113587e+20 1.384632974529609400e+20 3.830502445824512000e+19
5.400000000000000000e+01 1.508712355182141112e+20 1.383893005765730632e+20 3.829612417515130880e+19
5.450000000000000000e+01 1.506354334524147302e+20 1.383156454653669212e+20 3.828725222516501709e+19
5.500000000000000000e+01 1.504015342077866148e+20 1.382423279854474363e+20 3.827840833424121856e+19
5.550000000000000000e+01 1.501695087290800865e+20 1.381693440883645972e+20 3.826959223298861466e+19
5.600000000000000000e+01 1.499393286276986307e+20 1.380966898085922898e+20 3.826080365655714202e+19
5.650000000000000000e+01 1.497109661610270392e+20 1.380243612611026944e+20 3.825204234452849459e+19
5.700000000000000000e+01 1.494843942125729874e+20 1.379523546390337782e+20 3.824330804081083187e+19
5.750000000000000000e+01 1.492595862728816067e+20 1.378806662114444083e+20 3.823460049353610854e+19
5.800000000000000000e+01 1.490365164211877642e+20 1.378092923211542200e+20 3.822591945496082842e+19
5.850000000000000000e+01 1.488151593077712814e+20 1.377382293826623734e+20 3.821726468136978842e+19
5.900000000000000000e+01 1.485954901369815368e+20 1.376674738801435607e+20 3.820863593298250957e+19
5.950000000000000000e+01 1.483774846509017989e+20 1.375970223655169229e+20 3.820003297386291200e+19
